inst,group,lrc_dev,sharpe,sharpe_gross,cagr,exposure,inside_pct,trades,win_rate,avg_bars,max_bars,long_trades,short_trades,long_pnl,short_pnl,both_band_bars,bars,start,end
AXISBANK,NSE 1h stock,2.0,-0.5594118407772449,-0.08050492266624572,-0.13226873968656908,0.45006582659394395,0.8845213466240361,620,0.6306451612903226,7.719354838709678,45,299,321,-0.009581876290978453,-0.4045981439264907,3,10634,2017-01-02,2023-02-28
AXISBANK,NSE 1h stock,2.5,-0.7782742778777603,-0.35265144045108965,-0.20432371663802268,0.47893548993793494,0.9427308632687605,652,0.6303680981595092,7.811349693251533,72,321,331,-0.5048534003877818,-0.3613846057869448,3,10634,2017-01-02,2023-02-28
AXISBANK,NSE 1h stock,3.0,-0.7407055638822619,-0.31856989361975846,-0.2009121309573111,0.4842016174534512,0.9588113597893549,660,0.6318181818181818,7.801515151515152,72,325,335,-0.4629892384751395,-0.3650540298841382,3,10634,2017-01-02,2023-02-28
KOTAKBANK,NSE 1h stock,0.5,-0.18529547895382642,0.13923062036120298,-0.02834352533568858,0.15852283405374928,0.2726931028002255,232,0.6724137931034483,7.271551724137931,41,107,125,0.05320328080786346,-0.06970273698569945,2,10642,2017-01-02,2023-02-28
KOTAKBANK,NSE 1h stock,1.0,0.37815358722792297,0.83817016637568,0.04547347610071531,0.2670550648374366,0.5363653448599888,407,0.6756756756756757,6.982800982800983,41,193,214,0.4789502053571973,0.05984230389378831,2,10642,2017-01-02,2023-02-28
KOTAKBANK,NSE 1h stock,1.5,0.2410130112835378,0.7569675193278689,0.0272322766590317,0.3629956775042285,0.7534298064273632,551,0.662431941923775,7.0108892921960075,41,271,280,0.6302781323482636,-0.09710660155665729,3,10642,2017-01-02,2023-02-28
KOTAKBANK,NSE 1h stock,2.0,-0.17098714342012442,0.36581109521006094,-0.05083480691707443,0.4225709453110318,0.8906220635218944,634,0.6435331230283912,7.093059936908517,41,308,326,0.2924510731444214,-0.17749589007140987,3,10642,2017-01-02,2023-02-28
KOTAKBANK,NSE 1h stock,2.5,-0.2771620886059498,0.2766589271981025,-0.07189787367007507,0.44343168577335085,0.9433377184739711,667,0.6446776611694153,7.074962518740629,41,318,349,0.28096134396458394,-0.281381076077769,4,10642,2017-01-02,2023-02-28
KOTAKBANK,NSE 1h stock,3.0,-0.2406727748015853,0.3186403349270375,-0.0653330962677435,0.4472843450479233,0.9596880285660591,675,0.6459259259259259,7.051851851851852,41,324,351,0.32294419832246224,-0.27600627384213866,5,10642,2017-01-02,2023-02-28
BHARTIARTL,NSE 1h stock,0.5,-0.29909395424248547,0.004187305616695193,-0.04432135198386484,0.15919556432666102,0.274128371393666,231,0.6363636363636364,7.333333333333333,56,107,124,0.23019491297966782,-0.34250763194256373,1,10641,2017-01-02,2023-02-28
BHARTIARTL,NSE 1h stock,1.0,-0.058207411008887856,0.3186442464716878,-0.026141681437213633,0.2823982708392068,0.5129217178836576,411,0.6690997566909975,7.311435523114355,58,195,216,0.5749880389200623,-0.4329865710906573,2,10641,2017-01-02,2023-02-28
BHARTIARTL,NSE 1h stock,1.5,-0.09451173165368007,0.3669739105426398,-0.040210988682403505,0.3822009209660746,0.7349873132224415,581,0.657487091222031,7.0,58,294,287,0.6458441056805546,-0.4743976657812313,3,10641,2017-01-02,2023-02-28
BHARTIARTL,NSE 1h stock,2.0,-0.05114354223837215,0.4475795459756249,-0.03600614679410941,0.4396203364345456,0.8731322244149986,680,0.6573529411764706,6.879411764705883,58,351,329,0.6756512731056721,-0.4054194998951906,2,10641,2017-01-02,2023-02-28
BHARTIARTL,NSE 1h stock,2.5,0.028268448452426872,0.5342284122768457,-0.0211119068012821,0.46386617799079033,0.9464336058641105,728,0.6607142857142857,6.78021978021978,58,371,357,0.7202653649207786,-0.31556468583718383,2,10641,2017-01-02,2023-02-28
BHARTIARTL,NSE 1h stock,3.0,0.05815136593873413,0.5655783959489034,-0.01421247364702587,0.4652758199417348,0.9604360492434921,731,0.6621067031463749,6.772913816689466,58,372,359,0.7400794737722254,-0.29074930692147755,2,10641,2017-01-02,2023-02-28
SBIN,NSE 1h stock,0.5,-0.5507412160980864,-0.31746830550274063,-0.06306538151724791,0.12206352189438076,0.20813756812629206,153,0.5882352941176471,8.490196078431373,31,70,83,-0.1268611200521076,-0.15732707816613262,0,10642,2017-01-02,2023-02-28
SBIN,NSE 1h stock,1.0,-1.13921979128116,-0.8323170723839353,-0.18597768288586256,0.2517383950385266,0.45583536929148655,314,0.5414012738853503,8.531847133757962,34,149,165,-0.31262554132464665,-0.6935658414498396,1,10642,2017-01-02,2023-02-28
SBIN,NSE 1h stock,1.5,-0.9215095428713563,-0.5382043548518876,-0.18566639459698475,0.36478105619244505,0.7037211050554407,468,0.5833333333333334,8.294871794871796,38,217,251,-0.16612274048187298,-0.7240478080813286,2,10642,2017-01-02,2023-02-28
