instrument,sharpe,n,k,sma_len,entry_frac,exit_z
SP500,0.17393724636137906,100,1.5,20,1.0,0.0
SP500,0.09481279654056843,100,1.5,20,1.0,0.5
SP500,0.20380149240158452,100,1.5,50,0.7,-0.5
SP500,0.267904832575608,100,1.5,50,0.7,0.0
SP500,0.21413219072942827,100,1.5,50,0.7,0.5
SP500,0.26253163111320515,100,1.5,50,0.9,-0.5
SP500,0.35188771714321865,100,1.5,50,0.9,0.0
SP500,0.25595037594758896,100,1.5,50,0.9,0.5
SP500,0.24802627872928568,100,1.5,50,1.0,-0.5
SP500,0.33459923741476955,100,1.5,50,1.0,0.0
SP500,0.24947607031801453,100,1.5,50,1.0,0.5
SP500,0.2048216525944917,100,2.0,10,0.7,-0.5
SP500,0.3074753921281122,100,2.0,10,0.7,0.0
SP500,0.24587177929082404,100,2.0,10,0.7,0.5
SP500,0.13519261103212252,100,2.0,10,0.9,-0.5
SP500,0.346504965031067,100,2.0,10,0.9,0.0
SP500,0.2740176328063306,100,2.0,10,0.9,0.5
SP500,0.19710211077854867,100,2.0,10,1.0,-0.5
SP500,0.3964399902241492,100,2.0,10,1.0,0.0
SP500,0.35542926365410266,100,2.0,10,1.0,0.5
SP500,0.22808007198319466,100,2.0,20,0.7,-0.5
SP500,0.3182979045651577,100,2.0,20,0.7,0.0
SP500,0.2589991621548688,100,2.0,20,0.7,0.5
SP500,0.18128354405416608,100,2.0,20,0.9,-0.5
SP500,0.34705168798418073,100,2.0,20,0.9,0.0
SP500,0.2840662173593957,100,2.0,20,0.9,0.5
SP500,0.2504341808561294,100,2.0,20,1.0,-0.5
SP500,0.4239719114153994,100,2.0,20,1.0,0.0
SP500,0.3834665413619384,100,2.0,20,1.0,0.5
SP500,0.2943443427607583,100,2.0,50,0.7,-0.5
SP500,0.3863584367098769,100,2.0,50,0.7,0.0
SP500,0.33604313007277115,100,2.0,50,0.7,0.5
SP500,0.27006928183958195,100,2.0,50,0.9,-0.5
SP500,0.42639342987106466,100,2.0,50,0.9,0.0
SP500,0.35947386033271644,100,2.0,50,0.9,0.5
SP500,0.33474645935006175,100,2.0,50,1.0,-0.5
SP500,0.4926564883370503,100,2.0,50,1.0,0.0
SP500,0.43874945731716036,100,2.0,50,1.0,0.5
SP500,0.24783544314575967,100,2.5,10,0.7,-0.5
SP500,0.38019596127303035,100,2.5,10,0.7,0.0
SP500,0.26842875815733985,100,2.5,10,0.7,0.5
SP500,0.3199772813550467,100,2.5,10,0.9,-0.5
SP500,0.4213780968727795,100,2.5,10,0.9,0.0
SP500,0.4175005922119075,100,2.5,10,0.9,0.5
SP500,0.3427190342471984,100,2.5,10,1.0,-0.5
SP500,0.46319592726803926,100,2.5,10,1.0,0.0
SP500,0.45011656376991427,100,2.5,10,1.0,0.5
SP500,0.24783544314575967,100,2.5,20,0.7,-0.5
SP500,0.38019596127303035,100,2.5,20,0.7,0.0
SP500,0.26842875815733985,100,2.5,20,0.7,0.5
SP500,0.3199772813550467,100,2.5,20,0.9,-0.5
SP500,0.4213780968727795,100,2.5,20,0.9,0.0
SP500,0.4175005922119075,100,2.5,20,0.9,0.5
SP500,0.3427190342471984,100,2.5,20,1.0,-0.5
SP500,0.46319592726803926,100,2.5,20,1.0,0.0
SP500,0.45011656376991427,100,2.5,20,1.0,0.5
SP500,0.1923953554297332,100,2.5,50,0.7,-0.5
SP500,0.3365469194548778,100,2.5,50,0.7,0.0
SP500,0.2435802590754706,100,2.5,50,0.7,0.5
SP500,0.26936040482076373,100,2.5,50,0.9,-0.5
SP500,0.3675051584199496,100,2.5,50,0.9,0.0
SP500,0.3831670116964413,100,2.5,50,0.9,0.5
SP500,0.3156490629043255,100,2.5,50,1.0,-0.5
SP500,0.42708013045857757,100,2.5,50,1.0,0.0
SP500,0.4344273299929043,100,2.5,50,1.0,0.5
SP500,0.2755991671813006,100,3.0,10,0.7,-0.5
SP500,0.42292704667801817,100,3.0,10,0.7,0.0
SP500,0.40140700817076386,100,3.0,10,0.7,0.5
SP500,0.3883245991094063,100,3.0,10,0.9,-0.5
SP500,0.49018260393492946,100,3.0,10,0.9,0.0
SP500,0.41171739288753195,100,3.0,10,0.9,0.5
SP500,0.3243390601384767,100,3.0,10,1.0,-0.5
SP500,0.3749397330936193,100,3.0,10,1.0,0.0
SP500,0.2977004943059298,100,3.0,10,1.0,0.5
SP500,0.2755991671813006,100,3.0,20,0.7,-0.5
SP500,0.42292704667801817,100,3.0,20,0.7,0.0
SP500,0.40140700817076386,100,3.0,20,0.7,0.5
SP500,0.3883245991094063,100,3.0,20,0.9,-0.5
SP500,0.49018260393492946,100,3.0,20,0.9,0.0
SP500,0.41171739288753195,100,3.0,20,0.9,0.5
SP500,0.3243390601384767,100,3.0,20,1.0,-0.5
SP500,0.3749397330936193,100,3.0,20,1.0,0.0
SP500,0.2977004943059298,100,3.0,20,1.0,0.5
SP500,0.23055904218022816,100,3.0,50,0.7,-0.5
SP500,0.3786474549964178,100,3.0,50,0.7,0.0
SP500,0.37568707882860847,100,3.0,50,0.7,0.5
SP500,0.3309606468404935,100,3.0,50,0.9,-0.5
SP500,0.42645008326090594,100,3.0,50,0.9,0.0
SP500,0.3711167233166082,100,3.0,50,0.9,0.5
SP500,0.2736736911410727,100,3.0,50,1.0,-0.5
SP500,0.3192971154226251,100,3.0,50,1.0,0.0
SP500,0.2495679398807687,100,3.0,50,1.0,0.5
SP500,-0.3529447345649553,150,1.5,10,0.7,-0.5
SP500,-0.4593258443195108,150,1.5,10,0.7,0.0
SP500,-0.45944302458252806,150,1.5,10,0.7,0.5
SP500,-0.35100207918260956,150,1.5,10,0.9,-0.5
SP500,-0.4442266514580976,150,1.5,10,0.9,0.0
SP500,-0.4923076382883301,150,1.5,10,0.9,0.5
SP500,-0.3490893471982385,150,1.5,10,1.0,-0.5
SP500,-0.456920913834462,150,1.5,10,1.0,0.0
SP500,-0.519823769860491,150,1.5,10,1.0,0.5
SP500,0.10063821979014928,150,1.5,20,0.7,-0.5
SP500,-0.06357356740657075,150,1.5,20,0.7,0.0
SP500,-0.11887004794560774,150,1.5,20,0.7,0.5
SP500,0.12914240747483097,150,1.5,20,0.9,-0.5
SP500,-0.045406302234785825,150,1.5,20,0.9,0.0
SP500,-0.133554526757324,150,1.5,20,0.9,0.5
SP500,0.15442350959431678,150,1.5,20,1.0,-0.5
SP500,-0.062102885619552295,150,1.5,20,1.0,0.0
SP500,-0.1559635001213081,150,1.5,20,1.0,0.5
SP500,0.24171392018539023,150,1.5,50,0.7,-0.5
