inst,horizon,event,subset,n,fade_excess,t
ICICIBANK,10,lower touch,all,1301,0.00117571743789071,0.5557141228045456
ICICIBANK,10,lower touch,blue inside,1156,0.0014372467846932168,0.6395261956736786
ICICIBANK,10,upper touch,all,1372,0.001125583943420797,0.5340082831532564
ICICIBANK,10,upper touch,blue inside,1200,0.0008849231474857233,0.38806538788636946
ICICIBANK,20,lower touch,all,1301,0.004121113980890535,0.8844915750194146
ICICIBANK,20,lower touch,blue inside,1156,0.004938322365395256,1.1051350780058227
ICICIBANK,20,upper touch,all,1368,0.002917331167523537,0.8024263334487208
ICICIBANK,20,upper touch,blue inside,1196,0.0025563174798196907,0.6537591974152549
INFY,5,lower touch,all,1211,-0.0007367306228076603,-0.8452651383150629
INFY,5,lower touch,blue inside,1071,-0.0005530445708642175,-0.6195803234839803
INFY,5,upper touch,all,1688,0.00021133154262677136,0.2621217170077945
INFY,5,upper touch,blue inside,1557,-0.00018100395273525535,-0.22574597352897757
INFY,10,lower touch,all,1210,-0.0011578304753228584,-0.5979581109784644
INFY,10,lower touch,blue inside,1070,-0.0008707888211137442,-0.4590302418606556
INFY,10,upper touch,all,1688,0.001056426437460634,0.6943570173415049
INFY,10,upper touch,blue inside,1557,0.0006943189891869586,0.45210697659325105
INFY,20,lower touch,all,1206,-0.0020237321158752706,-0.49303101753632483
INFY,20,lower touch,blue inside,1066,-0.0006650587952127687,-0.17161088135678626
INFY,20,upper touch,all,1688,0.0016301390918569882,0.5667933423016591
INFY,20,upper touch,blue inside,1557,0.001288796165574713,0.4324340927088919
TCS,5,lower touch,all,1363,-4.0774159285394695e-05,-0.052395933988827845
TCS,5,lower touch,blue inside,1223,-0.0001762448781256399,-0.21983049124234677
TCS,5,upper touch,all,1565,-0.000801173394349515,-1.0679084562464114
TCS,5,upper touch,blue inside,1401,-0.0008345895805820927,-1.1249161091865103
TCS,10,lower touch,all,1362,0.0007305030998635628,0.46457503255712007
TCS,10,lower touch,blue inside,1222,0.0006257678290132281,0.39644970766568377
TCS,10,upper touch,all,1565,-0.00013234092531735773,-0.08892374568858372
TCS,10,upper touch,blue inside,1401,-0.00010555591276308568,-0.07181069496375919
TCS,20,lower touch,all,1356,0.002022228667647506,0.6531744362859416
TCS,20,lower touch,blue inside,1216,0.001961838587416085,0.5980539539472889
TCS,20,upper touch,all,1565,0.0011413945988401006,0.38912089008771406
TCS,20,upper touch,blue inside,1401,0.0015210498382916232,0.5083048285772891
ITC,5,lower touch,all,1426,0.0003064096292824216,0.4021097846155295
ITC,5,lower touch,blue inside,1303,-0.00030921485567721315,-0.4074741757787508
ITC,5,upper touch,all,1538,-0.0009671531234759957,-1.106435336849244
ITC,5,upper touch,blue inside,1365,-0.0006000488396448914,-0.6931303385067805
ITC,10,lower touch,all,1426,0.0008537186821757378,0.5782018363242144
ITC,10,lower touch,blue inside,1303,-0.00012667729484549284,-0.08593662238200099
ITC,10,upper touch,all,1538,-0.0011048501313899752,-0.6672917683114282
ITC,10,upper touch,blue inside,1365,-0.0005582013814985795,-0.3371063207697227
ITC,20,lower touch,all,1424,8.593324624374141e-05,0.029121730317262864
ITC,20,lower touch,blue inside,1301,-0.0011208645217836307,-0.36601515195982526
ITC,20,upper touch,all,1538,-0.0002872298168705111,-0.0840732429423728
ITC,20,upper touch,blue inside,1365,0.0007111189830033124,0.1970986908678732
LT,5,lower touch,all,1363,-0.0005503274547682648,-0.6027752349371575
LT,5,lower touch,blue inside,1217,-0.00011895156602134472,-0.12996451170748324
LT,5,upper touch,all,1337,-0.000994406167727128,-1.0082298755005163
LT,5,upper touch,blue inside,1211,-0.0007399871346960946,-0.7484308089868883
LT,10,lower touch,all,1363,-0.00018472804503095222,-0.09992649759017934
LT,10,lower touch,blue inside,1217,0.00024291889330443783,0.1348006897732428
LT,10,upper touch,all,1337,-0.0005506318705908758,-0.302909634760084
LT,10,upper touch,blue inside,1211,-0.0002772603456514,-0.15287395185301783
LT,20,lower touch,all,1357,0.0012855967139942628,0.31708864941964165
