inst,group,year,sharpe,ret
BANKNIFTY,NSE daily,2024,1.021263759158191,0.11831780261619723
BANKNIFTY,NSE daily,2025,-1.229923506327207,-0.11075104639946542
RELIANCE,NSE daily,1998,,0.0
RELIANCE,NSE daily,1999,1.1910449284496565,0.2598112995195419
RELIANCE,NSE daily,2000,-1.348780799373685,-0.500461363123821
RELIANCE,NSE daily,2001,-0.4820794433397589,-0.16968595225213137
RELIANCE,NSE daily,2002,0.9230085326893134,0.2123999815738623
RELIANCE,NSE daily,2003,0.3523234551004966,0.07478857443765174
RELIANCE,NSE daily,2004,1.2648570530305663,0.39183329843963355
RELIANCE,NSE daily,2005,-0.33129277608089563,-0.06161707954409875
RELIANCE,NSE daily,2006,-1.4005028531822061,-0.4512565047675636
RELIANCE,NSE daily,2007,-1.5050425637347125,-0.3330985195524291
RELIANCE,NSE daily,2008,-0.3279985036465906,-0.1438520261093686
RELIANCE,NSE daily,2009,-0.486465033098319,-0.1742584651033469
RELIANCE,NSE daily,2010,0.8081241555090353,0.15450419103841698
RELIANCE,NSE daily,2011,-0.37042053077952936,-0.08352986401099356
RELIANCE,NSE daily,2012,-0.45656931361261904,-0.08681646711589067
RELIANCE,NSE daily,2013,1.5171705896275238,0.2741748332113151
RELIANCE,NSE daily,2014,-1.4336105733235485,-0.2538000553615939
RELIANCE,NSE daily,2015,-0.36000512392105044,-0.07184637212893599
RELIANCE,NSE daily,2016,-0.35767675151619416,-0.05521631487868052
RELIANCE,NSE daily,2017,-1.0387509605107574,-0.19667259147305455
RELIANCE,NSE daily,2018,-0.0842683325863173,-0.016159541792112205
RELIANCE,NSE daily,2019,-1.3466830675640147,-0.24898069162843975
RELIANCE,NSE daily,2020,-0.8555615821752582,-0.34245297143265346
RELIANCE,NSE daily,2021,-0.7489966592548235,-0.13828274567484228
RELIANCE,NSE daily,2022,0.6740523582614582,0.134201788720199
RELIANCE,NSE daily,2023,-1.304491001154062,-0.16723128565039286
RELIANCE,NSE daily,2024,-0.6404077220709918,-0.09655559085370213
RELIANCE,NSE daily,2025,-0.16596755312712655,-0.023265889945684737
INFY,NSE daily,2005,,0.0
INFY,NSE daily,2006,0.4568123564103185,0.10836948490523508
INFY,NSE daily,2007,1.3843151373013476,0.34757092972641646
INFY,NSE daily,2008,0.4673492047942311,0.16031773720808537
INFY,NSE daily,2009,-0.002129087552429444,-0.0006405388523230832
INFY,NSE daily,2010,0.9872279180787884,0.14819592498690976
INFY,NSE daily,2011,-0.9727897293089897,-0.19614892383942026
INFY,NSE daily,2012,-0.3802287195998178,-0.08064014562590356
INFY,NSE daily,2013,-1.5350217839040217,-0.44463264870738634
INFY,NSE daily,2014,0.287397766722413,0.04849345694558851
INFY,NSE daily,2015,-0.14830235258413071,-0.029642457852195596
INFY,NSE daily,2016,0.14743067665065832,0.021445857691047815
INFY,NSE daily,2017,0.4809422650095834,0.0844047061352923
INFY,NSE daily,2018,1.2093451792989922,0.21106151183556204
INFY,NSE daily,2019,0.30326692837697133,0.06154496606374267
INFY,NSE daily,2020,-1.3637967113189502,-0.44512413284788793
INFY,NSE daily,2021,-1.1049013023772083,-0.16910451298543924
INFY,NSE daily,2022,-1.0767614140806452,-0.18863048092206713
INFY,NSE daily,2023,-1.0884462549109042,-0.1918865081670036
INFY,NSE daily,2024,-0.5111486384292036,-0.08522790623513624
INFY,NSE daily,2025,-0.9993361057146056,-0.1668926312424627
ITC,NSE daily,2006,,0.0
ITC,NSE daily,2007,0.635279943194833,0.12898966516463373
ITC,NSE daily,2008,1.4619481342198726,0.4298391375906338
ITC,NSE daily,2009,0.27530840770032766,0.06533979069408136
ITC,NSE daily,2010,1.8446352840156353,0.3065835421428493
ITC,NSE daily,2011,0.6496924343715206,0.09408961176910945
ITC,NSE daily,2012,0.8105136893124908,0.13560385735912617
ITC,NSE daily,2013,-0.13068885664160984,-0.024434591264503078
ITC,NSE daily,2014,0.23974920333152433,0.03174111223629512
ITC,NSE daily,2015,0.3331509878561014,0.0547342839242226
ITC,NSE daily,2016,1.0032890294372065,0.1741562711212421
ITC,NSE daily,2017,-0.6484261207475203,-0.12303956635706469
ITC,NSE daily,2018,-0.266534831479926,-0.04333343529640692
ITC,NSE daily,2019,-0.2683188656177754,-0.03737916467299722
ITC,NSE daily,2020,-1.225395766517044,-0.3588398693794995
ITC,NSE daily,2021,0.23967582359303807,0.038394356545047546
ITC,NSE daily,2022,-0.5138400229880485,-0.07931098253004923
ITC,NSE daily,2023,-0.1392278736363914,-0.020275929814426358
ITC,NSE daily,2024,-0.06935738128000182,-0.01016391914866984
ITC,NSE daily,2025,0.9518498014491742,0.10251869684555867
HDFCBANK,NSE daily,1996,,0.0
HDFCBANK,NSE daily,1997,-0.6636189759259014,-0.17468954259391936
HDFCBANK,NSE daily,1998,0.6611845086773998,0.22548863550331932
HDFCBANK,NSE daily,1999,-1.2156252175258078,-0.5550876866552712
