sharpe,cagr,exposure,trades,win_rate,avg_bars,max_bars,avg_win,avg_loss,long_pnl,short_pnl,bars,inst,outer,inner,bb_len
-3.2940479347277614,-0.27534711358064895,0.43021469025771614,1325,0.5139622641509434,7.393207547169811,52,0.0033837688892646403,-0.010013221367466813,-1.6601384847499714,-2.4840294623094357,22777,NIFTY,3.0,0.0,10
-1.9534973652839955,-0.16924197146428105,0.3822276858234184,588,0.5374149659863946,14.746598639455783,63,0.005021441922081429,-0.014473674877103933,-0.8190051919046988,-1.5310587272898393,22777,NIFTY,3.0,0.0,20
-0.41510374420925505,-0.04734471915350796,0.3170742415594679,217,0.5944700460829493,33.13824884792627,142,0.011542872982272733,-0.022808908383751044,-0.06536128689841976,-0.4527920361584892,22777,NIFTY,3.0,0.0,50
-0.12376867556888264,-0.01772153797376877,0.2930148834350441,102,0.6470588235294118,65.15686274509804,249,0.01674044403287572,-0.034620610435546345,0.07888677838934749,-0.22035944789921824,22777,NIFTY,3.0,0.0,100
-3.6196451400065803,-0.2816840262482579,0.3833252842779997,1396,0.49498567335243554,6.254297994269341,39,0.002969783945343204,-0.008961283143005407,-1.7525131507092517,-2.5130707588774057,22777,NIFTY,3.0,0.3,10
-2.1127981746661026,-0.16901522295269392,0.33336260262545553,612,0.5147058823529411,12.406862745098039,61,0.004468561836199032,-0.012739604285381486,-0.9239156292254777,-1.4521498651301283,22777,NIFTY,3.0,0.3,20
-0.4857596959345413,-0.05071796935423969,0.27659481055450674,225,0.56,27.862222222222222,113,0.010551747898300228,-0.019431968282979134,-0.19653510648274436,-0.3977095183463618,22777,NIFTY,3.0,0.3,50
-0.21841303663913014,-0.025088455697622462,0.2496816964481714,104,0.5865384615384616,54.41346153846154,224,0.016125125354636987,-0.028856106875070175,0.018003651008532892,-0.27518360000369424,22777,NIFTY,3.0,0.3,100
-3.9218994172586896,-0.2782924019134421,0.32598674101066866,1472,0.47690217391304346,5.044157608695652,24,0.0026256843153825795,-0.007859016507225824,-1.797173132410218,-2.4110391887550957,22777,NIFTY,3.0,0.6,10
-2.192166048089696,-0.15889519757894044,0.2729068797471133,637,0.5149136577708007,9.758241758241759,46,0.003921909543008197,-0.011374241560053386,-0.8014500018953854,-1.426804310054422,22777,NIFTY,3.0,0.6,20
-0.6363812424027678,-0.056818626145044494,0.22816876673837644,231,0.5541125541125541,22.363636363636363,83,0.008849340607721076,-0.01777651942088436,-0.25945701629017376,-0.43880888627261755,22777,NIFTY,3.0,0.6,50
-0.23717569695566004,-0.025057025543072032,0.19730429819554815,108,0.6481481481481481,41.351851851851855,134,0.012846320518756903,-0.0302409743595185,-0.10616471584095791,-0.14374987350776197,22777,NIFTY,3.0,0.6,100
