sharpe,cagr,exposure,trades,win_rate,avg_bars,max_bars,avg_win,avg_loss,long_pnl,short_pnl,bars,inst,dir,bps
-10.93270142805603,-0.9731286346060025,0.16105995113700433,1603,0.0,1.0692451653150343,26,,-0.013505474079393958,-11.00741863298856,-10.641856316279956,10642,MARUTI,BREAK,0.0
-11.203956762137905,-0.9758356004532951,0.16105995113700433,1603,0.0,1.0692451653150343,26,,-0.013905474079393958,-11.32621863298856,-10.964256316279954,10642,MARUTI,BREAK,2.0
-11.603629029879524,-0.9793942704017442,0.16105995113700433,1603,0.0,1.0692451653150343,26,,-0.01450547407939396,-11.804418632988561,-11.447856316279955,10642,MARUTI,BREAK,5.0
-12.250396717461667,-0.9842010525499582,0.16105995113700433,1603,0.0,1.0692451653150343,26,,-0.015505474079393958,-12.601418632988562,-12.253856316279956,10642,MARUTI,BREAK,10.0
0.04703087033673062,-0.004888065839574391,0.4623191129486939,671,0.713859910581222,7.332339791356185,55,0.0062127164544021245,-0.015273940217156168,0.25993243308485386,-0.2166377731202204,10642,HINDUNILVR,FADE,0.0
-0.23637408507726115,-0.04777192367825019,0.4623191129486939,671,0.7049180327868853,7.332339791356185,55,0.005889021027940795,-0.015205112556825067,0.13353243308485385,-0.35863777312022027,10642,HINDUNILVR,FADE,2.0
-0.6649630808190995,-0.10867232381934873,0.4623191129486939,671,0.684053651266766,7.332339791356185,55,0.0054568599745033995,-0.014775490888360502,-0.056067566915146194,-0.5716377731202205,10642,HINDUNILVR,FADE,5.0
-1.3864514266901755,-0.20167641139378467,0.4623191129486939,671,0.6497764530551415,7.332339791356185,55,0.0047147215572760255,-0.014273718889394526,-0.3720675669151463,-0.9266377731202204,10642,HINDUNILVR,FADE,10.0
-11.27070579194769,-0.9434590752703647,0.17242999436196205,1504,0.0006648936170212766,1.2200797872340425,56,0.000563167988354636,-0.011497217549087339,-9.759122454206725,-7.5206323540831885,10642,HINDUNILVR,BREAK,0.0
-11.590121786575866,-0.9488145217728773,0.17242999436196205,1504,0.0006648936170212766,1.2200797872340425,56,0.000163167988354636,-0.011897217549087338,-10.091122454206726,-7.790232354083187,10642,HINDUNILVR,BREAK,2.0
-12.057751067001636,-0.9559134367112676,0.17242999436196205,1504,0.0,1.2200797872340425,56,,-0.012489198675724676,-10.589122454206727,-8.194632354083188,10642,HINDUNILVR,BREAK,5.0
-12.806469708310699,-0.9656287602707205,0.17242999436196205,1504,0.0,1.2200797872340425,56,,-0.013489198675724677,-11.419122454206725,-8.868632354083188,10642,HINDUNILVR,BREAK,10.0
-0.5189166524901153,-0.10894712949861224,0.484504132231405,669,0.7115097159940209,7.7025411061285505,59,0.006943382127462594,-0.02014570361205576,-0.11594014666777108,-0.4671307577867967,10648,ASIANPAINT,FADE,0.0
-0.7551743461443438,-0.14723477794909554,0.484504132231405,669,0.70254110612855,7.7025411061285505,59,0.006627814231093853,-0.019928359764164218,-0.23754014666777115,-0.6131307577867966,10648,ASIANPAINT,FADE,2.0
-1.1116167042948017,-0.20161687158010527,0.484504132231405,669,0.6771300448430493,7.7025411061285505,59,0.006265134329788953,-0.018936003499300757,-0.4199401466677711,-0.8321307577867967,10648,ASIANPAINT,FADE,5.0
-1.7099417156590293,-0.28468815626598476,0.484504132231405,669,0.6442451420029895,7.7025411061285505,59,0.005555687445798139,-0.01813265627560322,-0.7239401466677712,-1.1971307577867967,10648,ASIANPAINT,FADE,10.0
-11.106449325691706,-0.9657820778223198,0.1620961682945154,1601,0.0006246096189881324,1.0780762023735166,34,0.001018432835767304,-0.012652195232671491,-11.103364738313704,-9.139129201124913,10648,ASIANPAINT,BREAK,0.0
-11.3989015531199,-0.9692216433008671,0.1620961682945154,1601,0.0006246096189881324,1.0780762023735166,34,0.000618432835767304,-0.013052195232671489,-11.457364738313704,-9.425529201124913,10648,ASIANPAINT,BREAK,2.0
-11.82900842138528,-0.9737447748537382,0.1620961682945154,1601,0.0006246096189881324,1.0780762023735166,34,1.8432835767303972e-05,-0.013652195232671489,-11.988364738313706,-9.855129201124914,10648,ASIANPAINT,BREAK,5.0
-12.522872690445404,-0.979857196403197,0.1620961682945154,1601,0.0,1.0780762023735166,34,,-0.014643656426882335,-12.873364738313704,-10.571129201124915,10648,ASIANPAINT,BREAK,10.0
-1.4788739993883881,-0.3286263605374678,0.4950954540660268,546,0.652014652014652,8.591575091575091,58,0.008359865025721683,-0.02658519393483611,-0.3343484802544299,-1.740726418207512,9481,BAJFINANCE,FADE,0.0
-1.6442821690605114,-0.3551133129268468,0.4950954540660268,546,0.6428571428571429,8.591575091575091,58,0.008077288192184503,-0.02630052848163437,-0.44354848025442994,-1.8499264182075117,9481,BAJFINANCE,FADE,2.0
-1.8931074535943533,-0.39290653328617675,0.4950954540660268,546,0.6373626373626373,8.591575091575091,58,0.007543975529111918,-0.026496860518145905,-0.60734848025443,-2.013726418207512,9481,BAJFINANCE,FADE,5.0
-2.3092495121792944,-0.4510598257244991,0.4950954540660268,546,0.6172161172161172,8.591575091575091,58,0.006770358760373693,-0.0260702669890329,-0.8803484802544301,-2.2867264182075115,9481,BAJFINANCE,FADE,10.0
-10.502000832496263,-0.9889722045636216,0.15852758147874696,1375,0.0,1.0923636363636364,42,,-0.017392973127280893,-12.526448800707811,-11.388889249303416,9481,BAJFINANCE,BREAK,0.0
-10.70624203556428,-0.9900462851251061,0.15852758147874696,1375,0.0,1.0923636363636364,42,,-0.017792973127280894,-12.809648800707812,-11.655689249303418,9481,BAJFINANCE,BREAK,2.0
-11.008532544406293,-0.9914648120500696,0.15852758147874696,1375,0.0,1.0923636363636364,42,,-0.018392973127280894,-13.234448800707812,-12.055889249303418,9481,BAJFINANCE,BREAK,5.0
