inst,pnl,bars,side
NIFTY,0.005952879437500553,7,1.0
NIFTY,-0.02059156818107126,23,1.0
NIFTY,-0.046119244861496295,45,-1.0
NIFTY,-0.011978277416417046,16,1.0
NIFTY,-0.0004198345130102106,12,-1.0
NIFTY,0.002996805681433692,2,-1.0
NIFTY,-0.023170260197301947,30,1.0
NIFTY,0.0068691511871073465,7,1.0
NIFTY,-0.01845966589911782,21,-1.0
NIFTY,-0.016613795601933278,21,1.0
NIFTY,0.005589933091197382,4,1.0
NIFTY,-0.01829623591987955,17,1.0
NIFTY,0.005784337222502368,7,-1.0
NIFTY,-0.025960335748385046,19,1.0
NIFTY,0.015700501170841662,3,1.0
NIFTY,-0.04836237713138871,32,-1.0
NIFTY,-0.007117376073013007,14,1.0
NIFTY,-0.0015470362362862452,13,-1.0
NIFTY,0.006650853280196826,3,-1.0
NIFTY,-0.014164577813642302,23,-1.0
NIFTY,0.0020402814934382925,3,1.0
NIFTY,-0.006287500539272502,17,-1.0
NIFTY,0.0023933051536831488,3,1.0
NIFTY,0.005335457927929015,4,-1.0
NIFTY,-0.015604923622144834,25,-1.0
NIFTY,0.0018243230499894595,7,1.0
NIFTY,-0.025393476696480913,30,1.0
NIFTY,0.0029224281180715694,3,1.0
NIFTY,-0.010691989199754256,23,-1.0
NIFTY,-0.015110895107735839,21,1.0
NIFTY,0.003785092359928947,2,1.0
NIFTY,0.005663631095545753,2,-1.0
NIFTY,-0.0039505637556519375,13,-1.0
NIFTY,0.0025904697811040237,1,1.0
NIFTY,0.0010308041704875837,7,-1.0
NIFTY,0.0018082720840123616,2,-1.0
NIFTY,-0.000712448556838066,4,-1.0
NIFTY,-0.010112438421685984,16,1.0
NIFTY,0.0026466642096588,1,1.0
NIFTY,0.0024915781008735516,1,1.0
NIFTY,0.002303219355837289,3,-1.0
NIFTY,-0.003541758763773736,11,-1.0
NIFTY,0.0010910927250191568,13,-1.0
NIFTY,0.004792466116686666,3,1.0
NIFTY,0.0017845791346997669,9,-1.0
NIFTY,-0.021856592248042015,20,1.0
